epoch,step,train_loss_epoch,train_loss_step,val_mean_iou,val_mean_iou_no_bg
0,9,,123.16132354736328,,
0,19,,111.49357604980469,,
0,29,,109.26406860351562,,
0,39,,104.72481536865234,,
0,49,,103.60965728759766,,
0,59,,101.7499771118164,,
0,69,,101.005615234375,,
0,79,,102.37327575683594,,
0,89,,96.3053207397461,,
0,99,,98.75374603271484,,
0,109,,97.3805160522461,,
0,119,,93.81100463867188,,
0,129,,95.36974334716797,,
0,139,,95.19524383544922,,
0,149,,92.11011505126953,,
0,159,,90.83863067626953,,
0,169,,87.0610580444336,,
0,179,,83.09711456298828,,
0,189,,83.03722381591797,,
0,199,,81.0140380859375,,
0,209,,80.31290435791016,,
0,219,,80.01835632324219,,
0,229,,77.5401611328125,,
0,239,,74.69913482666016,,
0,249,,78.16297149658203,,
0,259,,73.25538635253906,,
0,269,,76.16771697998047,,
0,279,,73.4469985961914,,
0,289,,75.49523162841797,,
0,299,,73.18599700927734,,
0,309,,73.3844223022461,,
0,315,,,0.07379733771085739,0.08609689027070999
0,315,91.0552978515625,,,
