epoch,step,train_loss_epoch,train_loss_step,val_mean_iou,val_mean_iou_no_bg
0,9,,123.2446517944336,,
0,19,,109.08406829833984,,
0,29,,108.62464141845703,,
0,39,,105.48750305175781,,
0,49,,107.20452117919922,,
0,59,,105.59065246582031,,
0,69,,99.19042205810547,,
0,79,,96.663330078125,,
0,89,,100.5549087524414,,
0,99,,97.98629760742188,,
0,109,,97.02216339111328,,
0,119,,96.77662658691406,,
0,129,,95.45433807373047,,
0,139,,95.4957275390625,,
0,149,,94.01184844970703,,
0,159,,94.29241180419922,,
0,169,,90.29430389404297,,
0,179,,91.6434326171875,,
0,189,,88.05020904541016,,
0,199,,89.37561798095703,,
0,209,,85.14913940429688,,
0,219,,86.08993530273438,,
0,229,,83.44367980957031,,
0,239,,79.97222137451172,,
0,249,,82.80104064941406,,
0,259,,80.77050018310547,,
0,269,,80.76103973388672,,
0,279,,78.18113708496094,,
0,289,,80.52490997314453,,
0,299,,81.78459930419922,,
0,309,,82.08534240722656,,
0,315,,,0.10072390735149384,0.11751123517751694
0,315,93.55878448486328,,,
